"游戏","apk_type",Count
"com.AslanGameStudio.ClownHouse",2,1
"com.Badu.BountyHunt",2,1
"com.BatonGames.AgeOfStone",2,1
"com.BeTiqni.alhot.azraak",2,1
"com.BeastBattle.Simulator",2,1
"com.BeerMoneyGames.Demolition2",2,1
"com.BlackFoxEntertainment.DriftLegends",2,1
"com.Bullinzadu.EzrealMirror",2,1
"com.CactusGames.ClashOfCrime",2,1
"com.CeanDoo.JunkyardTycoon",2,1
"com.Cheesecake.JasonFriday13th",2,1
"com.Chibig.VRFantasy",2,1
"com.ChillyRoom.DungeonShooter",2,1
"com.ClarkSongBookk",2,1
"com.Company.BOV",2,1
"com.Company.TornadoAlley",2,1
"com.CraftingMax.Explore",2,1
"com.Devzavod.TheSyrianBunker",2,1
"com.EGProject.StoneOfSouls2Free",2,1
"com.ENP.LoA.wt.googleplay",2,1
"com.EON.Tower",2,1
"com.ExtraCraft.Helga",2,1
"com.FDGEntertainment.Oceanhorn.gp",2,1
"com.FIFAStreet4.FootBallFES2017",2,1
"com.FaGame.Parking",2,1
"com.FakeCall2",2,1
"com.FirefighterSimulator2016",2,1
"com.ForgeGames.SpecialForcesGroup",2,1
"com.FunnyTime.Escapethe100roomI",2,1
"com.Gamozome.CarSimulator3D",2,1
"com.GettingOver.GettingOverIt",2,1
"com.GoGames.ClubSoccerDirector",2,1
"com.Hafjanj.DreamLeagueSoccer18",2,1
"com.HasjStudio.SoccerBarcelona",2,1
"com.HighbrowInteractive.IndonesianTrainSim",2,1
"com.Highspeedstudio.survivalraftmultiplayer2",2,1
"com.HomeNetGames.ZombieDefense",2,1
"com.HuriyaSoft.MiniMilitia3D",2,1
"com.Imaginationtoinnovation.BirdsShooting",2,1
"com.ImperiumMultimediaGames.MMA_Fighting_Clash",2,1
"com.InzenStudio.TapVoyager",2,1
"com.JogosAurora.Ponami",2,1
"com.JohnWright.ThriveIslandsFree",2,1
"com.KamaBulletGameLab.HackingSimulator",2,1
"com.Kazeta.WithstandZ",2,1
"com.Konan04.happybicycle",2,1
"com.Koukoi.Unstoppabull",2,1
"com.Laxarus.TigerBall",2,1
